no,slug,fig1,fig2,fig3,op,fig1_fmt,fig2_fmt,fig3_fmt
76,global-baseline-local-adaptation,B,C,I,6,Table,SVG,Mermaid
77,governance-continuous-improvement,J,G,H,7,SVG,Mermaid,HTML
78,governance-doc-version-control,F,A,E,8,Mermaid,HTML,Table
79,governance-investment-roi,I,D,B,9,HTML,Table,SVG
80,governance-maturity-model,H,C,J,10,Table,SVG,Mermaid
81,governance-maturity-roadmap,A,B,G,1,SVG,Mermaid,HTML
82,governance-os-summary-roadmap,D,E,F,2,Mermaid,HTML,Table
83,governance-talent-roles,C,H,I,3,HTML,Table,SVG
84,gpai-llm-governance-overview,J,A,F,4,Table,SVG,Mermaid
85,harmful-unlawful-output-control,B,D,G,5,SVG,Mermaid,HTML
86,human-in-the-loop-design,E,C,I,6,Mermaid,HTML,Table
87,ieee-international-standards,F,H,J,7,HTML,Table,SVG
88,incentive-design-speed-control,G,A,D,8,Table,SVG,Mermaid
89,incident-response-ai-isolation,I,B,E,9,SVG,Mermaid,HTML
90,incident-response-by-industry,H,J,C,10,Mermaid,HTML,Table
91,industry-ai-audit-comparison,A,E,G,1,HTML,Table,SVG
92,industry-automotive-mobility,D,B,I,2,Table,SVG,Mermaid
93,industry-finance-ai-governance,C,F,J,3,SVG,Mermaid,HTML
94,industry-healthcare-regulation,G,H,A,4,Mermaid,HTML,Table
95,industry-hr-recruitment-ai,E,D,F,5,HTML,Table,SVG
96,industry-insurance-underwriting,B,C,I,6,Table,SVG,Mermaid
97,industry-kri-minimum-set,J,G,H,7,SVG,Mermaid,HTML
98,industry-manufacturing-quality,F,A,E,8,Mermaid,HTML,Table
99,industry-marketing-ad-ai,I,D,B,9,HTML,Table,SVG
100,industry-pharma-life-science,H,C,J,10,Table,SVG,Mermaid
101,industry-public-sector,A,B,G,1,SVG,Mermaid,HTML
102,industry-retail-ec-recommendation,D,E,F,2,Mermaid,HTML,Table
103,industry-risk-heatmap,C,H,I,3,HTML,Table,SVG
104,industry-templates-control-package,J,A,F,4,Table,SVG,Mermaid
105,internal-ai-b2e-shadow,B,D,G,5,SVG,Mermaid,HTML
106,internal-audit-ai-controls,E,C,I,6,Mermaid,HTML,Table
107,ip-patent-ai-development,F,H,J,7,HTML,Table,SVG
108,iso-42001-aims-introduction,G,A,D,8,Table,SVG,Mermaid
109,japan-ai-guidelines,I,B,E,9,SVG,Mermaid,HTML
110,japan-pip-genai,H,J,C,10,Mermaid,HTML,Table
111,legal-governance-three-lines,A,E,G,1,HTML,Table,SVG
112,liability-disclaimer-limits,D,B,I,2,Table,SVG,Mermaid
113,llm-data-boundary,C,F,J,3,SVG,Mermaid,HTML
114,llm-use-policy-internal-customer,G,H,A,4,Mermaid,HTML,Table
115,log-integrity-retention,E,D,F,5,HTML,Table,SVG
116,major-incident-criteria-escalation,B,C,I,6,Table,SVG,Mermaid
117,model-card-datasheet-audit,J,G,H,7,SVG,Mermaid,HTML
118,model-poisoning-detection,F,A,E,8,Mermaid,HTML,Table
119,monitoring-alert-kri-design,I,D,B,9,HTML,Table,SVG
120,multi-framework-integration,H,C,J,10,Table,SVG,Mermaid
121,next-gen-regulation-preparation,A,B,G,1,SVG,Mermaid,HTML
122,next-year-plan-priority-summary,D,E,F,2,Mermaid,HTML,Table
123,next-year-planning-cycle,C,H,I,3,HTML,Table,SVG
124,nist-ai-rmf-implementation,J,A,F,4,Table,SVG,Mermaid
125,oecd-ai-principles-policy,B,D,G,5,SVG,Mermaid,HTML
126,offensive-governance-trust,E,C,I,6,Mermaid,HTML,Table
127,outsourcing-bpo-si-ai,F,H,J,7,HTML,Table,SVG
128,pets-privacy-enhancing,G,A,D,8,Table,SVG,Mermaid
129,production-monitoring-drift,I,B,E,9,SVG,Mermaid,HTML
130,prompt-injection-control,H,J,C,10,Mermaid,HTML,Table
131,rag-governance-reference-citation,A,E,G,1,HTML,Table,SVG
132,red-teaming-guide,D,B,I,2,Table,SVG,Mermaid
133,regulatory-horizon-scan-ops,C,F,J,3,SVG,Mermaid,HTML
134,regulatory-horizon-scan,G,H,A,4,Mermaid,HTML,Table
135,regulatory-splinternet,E,D,F,5,HTML,Table,SVG
136,reputation-risk-prevention,B,C,I,6,Table,SVG,Mermaid
137,saas-apocalypse-cowork-shock-part1,J,G,H,7,SVG,Mermaid,HTML
138,saas-apocalypse-cowork-shock-part2,F,A,E,8,Mermaid,HTML,Table
139,saas-apocalypse-cowork-shock-part3,I,D,B,9,HTML,Table,SVG
140,safety-case-accountability,H,C,J,10,Table,SVG,Mermaid
141,sbom-integration-security,A,B,G,1,SVG,Mermaid,HTML
142,security-education-rules,D,E,F,2,Mermaid,HTML,Table
143,security-eval-vendor-open-model,C,H,I,3,HTML,Table,SVG
144,security-investment-roi,J,A,F,4,Table,SVG,Mermaid
145,security-kri-monitoring,B,D,G,5,SVG,Mermaid,HTML
146,shadow-ai-countermeasures,E,C,I,6,Mermaid,HTML,Table
147,subsidiary-sme-lightweight-governance,F,H,J,7,HTML,Table,SVG
148,supervisor-authority-alignment,G,A,D,8,Table,SVG,Mermaid
149,supply-chain-security-ai,I,B,E,9,SVG,Mermaid,HTML
150,sustainability-environmental-ai,H,J,C,10,Mermaid,HTML,Table
151,synthetic-data-privacy,A,E,G,1,HTML,Table,SVG
152,third-party-ai-vendor-risk,D,B,I,2,Table,SVG,Mermaid
153,training-data-copyright-licensing,C,F,J,3,SVG,Mermaid,HTML
154,training-data-rights-licensing,G,H,A,4,Mermaid,HTML,Table
155,transparency-accountability,E,D,F,5,HTML,Table,SVG
156,uk-singapore-soft-law,B,C,I,6,Table,SVG,Mermaid
157,us-ai-regulation-overview,J,G,H,7,SVG,Mermaid,HTML
158,use-case-approval-process,F,A,E,8,Mermaid,HTML,Table
159,vendor-contract-living-clauses,I,D,B,9,HTML,Table,SVG
160,version-management-reroll,H,C,J,10,Table,SVG,Mermaid
161,watermark-metadata-limits,A,B,G,1,SVG,Mermaid,HTML
162,worker-consumer-protection-genai,D,E,F,2,Mermaid,HTML,Table
163,xai-explainability-scope,C,H,I,3,HTML,Table,SVG
